event_id,artist_id,venue_id,start_date,attendance,average_ticket_price
EV-88a04cb9-5d73,AR-4de1a19c-0779,VN-Arena16000TX-b3e3457c-51be,8/11/22,6449,68.47
EV-8d96c940-d2c9,AR-4de1a19c-0779,VN-Arena16000TX-b3e3457c-51be,9/21/14,4563,48.43
EV-6be4485a-f60a,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,9/5/14,12418,33.04
EV-1a43ab91-4235,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,10/6/16,12222,36.25
EV-eee77d00-cdec,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,9/8/17,10823,39.2
EV-68189aa8-694d,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,8/24/18,8966,42.73
EV-285ea19f-c762,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,10/13/19,7356,42.86
EV-e990375b-7bac,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,9/2/17,8832,39.34
EV-8b1bac6b-5d38,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,10/24/15,11052,37.44
EV-f4b8e9e9-8a8e,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,9/20/14,9726,36.09
EV-7ef76487-faef,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,9/11/14,13186,31.47
EV-3776adfe-ce92,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,9/12/14,15048,32.33
EV-b4e0e878-b608,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,9/4/15,14913,36.67
EV-4c2d866d-ec82,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,7/19/19,13504,45.21
EV-0f360f01-8b61,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,5/15/14,10501,23.87
EV-2960ec16-9965,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,9/4/16,12885,35.88
